date,exchange_rate
2009-01-02,0
2009-01-05,0
2009-01-08,0
2009-01-11,0
2009-01-14,0
2009-01-17,0
2009-01-20,0
2009-01-23,0
2009-01-26,0
2009-01-29,0
2009-02-01,0
2009-02-04,0
2009-02-07,0
2009-02-10,0
2009-02-13,0
2009-02-16,0
2009-02-19,0
2009-02-22,0
2009-02-25,0
2009-02-28,0
2010-07-17,0.04
2010-07-18,0.08
2010-07-19,0.08
2010-07-20,0.07
2010-07-21,0.08
2011-01-03,0.3
2011-01-09,0.32
2011-01-10,0.33
2011-01-12,0.35
2011-01-14,0.38
2011-01-15,0.4
2011-01-16,0.43
2011-01-17,0.47
2011-01-18,0.6
2011-01-20,0.63
2011-01-21,0.64
2011-01-22,0.66
2011-01-23,0.7
2011-01-24,0.8
2011-01-25,0.9
2011-01-26,0.94
2011-01-27,0.99
2011-01-28,1.0
2011-01-29,1.0
2011-01-30,1.0
2012-01-03,5.0
2012-01-04,5.2
2012-01-05,5.5
2013-01-03,13.0
2013-01-04,13.3
2013-01-05,13.5
2021-09-01,44000.0
2021-09-02,43000.0
2021-09-03,45000.0
